Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://data.bioontology.org/metadata/prefixIRI,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/2004/02/skos/core#prefLabel
https://go.drugbank.com/drugs/DB03354,"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Oxadiazole","2-( beta- d- glucopyranosyl)-5- methyl-1,3,4- oxadiazole|2-( beta- d- glucopyranosyl)-5- methyl-1,3,4- oxadiazol|2-(beta-d-glucopyranosyl)-5-methyl-1,3,4-oxadiazol|2-(beta-d-glucopyranosyl)-5-methyl-1,3,4-oxadiazole",,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB03354,"2-( beta- d- glucopyranosyl)-5- methyl-1,3,4- oxadiazole|2-( beta- d- glucopyranosyl)-5- methyl-1,3,4- oxadiazol|2-(beta-d-glucopyranosyl)-5-methyl-1,3,4-oxadiazol|2-(beta-d-glucopyranosyl)-5-methyl-1,3,4-oxadiazole","2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Oxadiazole"
https://go.drugbank.com/drugs/DB03359,"M-(N,N,N-Trimethylammonio)-2,2,2-Trifluoro-1,1-Dihydroxyethylbenzene","m-( n, n, n- trimethylammonio)-2,2,2- trifluoro-1,1- dihydroxyethylbenzene|m-(n,n,n-trimethylammonio)-2,2,2-trifluoro-1,1-dihydroxyethylbenzen|m-(n,n,n-trimethylammonio)-2,2,2-trifluoro-1,1-dihydroxyethylbenzene|m-( n, n, n- trimethylammonio)-2,2,2- trifluoro-1,1- dihydroxyethylbenzen",,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB03359,"m-( n, n, n- trimethylammonio)-2,2,2- trifluoro-1,1- dihydroxyethylbenzene|m-(n,n,n-trimethylammonio)-2,2,2-trifluoro-1,1-dihydroxyethylbenzen|m-(n,n,n-trimethylammonio)-2,2,2-trifluoro-1,1-dihydroxyethylbenzene|m-( n, n, n- trimethylammonio)-2,2,2- trifluoro-1,1- dihydroxyethylbenzen","M-(N,N,N-Trimethylammonio)-2,2,2-Trifluoro-1,1-Dihydroxyethylbenzene"
https://go.drugbank.com/drugs/DB03352,S-Arsonocysteine,s-arsonocystein|s- arsonocystein|s- arsonocysteine|s-arsonocysteine|s-arsono-l-cystein|s-arsono-l-cysteine,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB03352,s-arsonocystein|s- arsonocystein|s- arsonocysteine|s-arsonocysteine|s-arsono-l-cystein|s-arsono-l-cysteine,S-Arsonocysteine
https://go.drugbank.com/drugs/DB11827,Ertugliflozin,ertugliflozin,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB11827,ertugliflozin,Ertugliflozin
https://go.drugbank.com/drugs/DB11822,TMC-647055,t m c-647055|tmc-647055,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB11822,t m c-647055|tmc-647055,TMC-647055
https://go.drugbank.com/drugs/DB11825,Mirogabalin,mirogabalin,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB11825,mirogabalin,Mirogabalin
https://go.drugbank.com/drugs/DB11820,Nifurtimox,nifurtimoxum|bayer 2502|lampit|nifurtimox,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB11820,nifurtimoxum|bayer 2502|lampit|nifurtimox,Nifurtimox
https://go.drugbank.com/drugs/DB11829,Ruboxistaurin,ruboxistaurin,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB11829,ruboxistaurin,Ruboxistaurin
https://go.drugbank.com/drugs/DB11828,Neratinib,neratinib,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB11828,neratinib,Neratinib
https://go.drugbank.com/drugs/DB11821,Danegaptide,danegaptide|danegaptid,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB11821,danegaptide|danegaptid,Danegaptide
