Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://data.bioontology.org/metadata/prefixIRI,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/2004/02/skos/core#prefLabel
http://id.nlm.nih.gov/mesh/D064048,Spindle Pole Bodies,"bodies, spindl pol|bodies, spindl pole|body, spindl pol|body, spindl pole|bodies, spindle pol|body, spindle pole|spindl pole bodi|spindle pole bodi|spindle pole body|body, spindle pol|bodies, spindle pole|spindle pole bodies",,FALSE,,,http://www.w3.org/2002/07/owl#Thing,MeSH:D064048,"bodies, spindl pol|bodies, spindl pole|body, spindl pol|body, spindl pole|bodies, spindle pol|body, spindle pole|spindl pole bodi|spindle pole bodi|spindle pole body|body, spindle pol|bodies, spindle pole|spindle pole bodies",Spindle Pole Bodies
http://id.nlm.nih.gov/mesh/D054499,Group IA Phospholipases A2,"group ia phospholipas a2|phospholipases a2, group ia|group i a phospholipas a2|group i a phospholipases a2|group ia phospholipases a2|phospholipas a2, group ia",,FALSE,,,http://www.w3.org/2002/07/owl#Thing,MeSH:D054499,"group ia phospholipas a2|phospholipases a2, group ia|group i a phospholipas a2|group i a phospholipases a2|group ia phospholipases a2|phospholipas a2, group ia",Group IA Phospholipases A2
http://id.nlm.nih.gov/mesh/D003867,Depth Perception,"stereoscop vis|stereoscopic vis|vision, stereoscopic|visions, stereoscop|depth perception|depth perceptions|visions, stereoscopic|stereoscopic vision|perception, depth|stereoscopic visions|perceptions, depth|depth percept|vision, stereoscop|stereoscop vision|stereop|stereops|stereopses|stereopsi|stereopsis",,FALSE,,,http://www.w3.org/2002/07/owl#Thing,MeSH:D003867,"stereoscop vis|stereoscopic vis|vision, stereoscopic|visions, stereoscop|depth perception|depth perceptions|visions, stereoscopic|stereoscopic vision|perception, depth|stereoscopic visions|perceptions, depth|depth percept|vision, stereoscop|stereoscop vision|stereop|stereops|stereopses|stereopsi|stereopsis",Depth Perception
https://go.drugbank.com/drugs/DB02803,"3-Phenyl-1,2-Propandiol","3- phenyl-1,2- propandiol|3-phenyl-1,2-propandiol",,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB02803,"3- phenyl-1,2- propandiol|3-phenyl-1,2-propandiol","3-Phenyl-1,2-Propandiol"
https://go.drugbank.com/drugs/DB02805,Arabinouridine 3'-phosphate,"arabinouridin 3'-phosph|arabinouridin 3'-phosphat|uracil arabinose-3'-phosph|1-(3-o-phosphono-beta-l-arabinofuranosyl)pyrimidine-2,4(1h,3h)-dion|1-(3-o-phosphono-beta-l-arabinofuranosyl)pyrimidine-2,4(1h,3h)-dione|arabinouridine 3'-phosph|arabinouridine 3'-phosphate|uracil arabinose-3'-phosphate",,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB02805,"arabinouridin 3'-phosph|arabinouridin 3'-phosphat|uracil arabinose-3'-phosph|1-(3-o-phosphono-beta-l-arabinofuranosyl)pyrimidine-2,4(1h,3h)-dion|1-(3-o-phosphono-beta-l-arabinofuranosyl)pyrimidine-2,4(1h,3h)-dione|arabinouridine 3'-phosph|arabinouridine 3'-phosphate|uracil arabinose-3'-phosphate",Arabinouridine 3'-phosphate
https://go.drugbank.com/drugs/DB02801,"2,3-Anhydro-quinic acid","2,3-anhydro-quin acid|2,3- anhydro-quin acid|2,3-anhydro-quinic acid|2,3- anhydro-quinic acid",,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB02801,"2,3-anhydro-quin acid|2,3- anhydro-quin acid|2,3-anhydro-quinic acid|2,3- anhydro-quinic acid","2,3-Anhydro-quinic acid"
https://go.drugbank.com/drugs/DB02800,"5-hydroxymethyl-5,6-dihydrofolic acid","5-hydroxymethyl-5,6-dihydrofol acid|5-hydroxymethyl-5,6-dihydrofolic acid",,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB02800,"5-hydroxymethyl-5,6-dihydrofol acid|5-hydroxymethyl-5,6-dihydrofolic acid","5-hydroxymethyl-5,6-dihydrofolic acid"
https://go.drugbank.com/drugs/DB02804,A-98881,a-98881,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB02804,a-98881,A-98881
https://go.drugbank.com/drugs/DB02808,Trifluorofurnesyl Diphosphate,trifluorofurnesyl diphosph|trifluorofurnesyl diphosphate,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB02808,trifluorofurnesyl diphosph|trifluorofurnesyl diphosphate,Trifluorofurnesyl Diphosphate
https://go.drugbank.com/drugs/DB02806,2-Methoxyethanol,2-methoxyethanol|2- methoxyethanol,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB02806,2-methoxyethanol|2- methoxyethanol,2-Methoxyethanol
